block,rank,neuron_idx,mean_abs_weight,mean_signed_weight
9,1,1353,0.15959449112415314,0.12533795833587646
9,2,638,0.15468165278434753,0.15468165278434753
9,3,797,0.15273767709732056,0.15273767709732056
9,4,1649,0.1525866687297821,-0.1525866687297821
9,5,407,0.14497508108615875,-0.14497508108615875
9,6,395,0.14362695813179016,0.14362695813179016
9,7,1593,0.14259299635887146,-0.14259299635887146
9,8,1237,0.1423475444316864,-0.1423475444316864
9,9,1900,0.141755610704422,0.141755610704422
9,10,1231,0.14100439846515656,0.14100439846515656
9,11,1448,0.1409449726343155,0.1409449726343155
9,12,1690,0.1370188146829605,0.1370188146829605
9,13,598,0.13658244907855988,-0.13658244907855988
9,14,1477,0.13650934398174286,0.13650934398174286
9,15,946,0.1359277218580246,0.1359277218580246
9,16,2,0.1354425847530365,-0.1354425847530365
9,17,100,0.13520245254039764,0.13520245254039764
9,18,1748,0.13393312692642212,-0.13393312692642212
9,19,1643,0.13364626467227936,0.13364626467227936
10,0,1733,0.18551631271839142,-0.18551631271839142
10,1,687,0.1701030433177948,-0.1701030433177948
10,2,796,0.1672578603029251,-0.1672578603029251
10,3,535,0.1644957810640335,-0.1644957810640335
10,4,960,0.16440191864967346,0.16440191864967346
10,5,1051,0.16411317884922028,-0.16411317884922028
10,6,1726,0.15815314650535583,0.15815314650535583
10,7,278,0.15715810656547546,-0.15715810656547546
10,8,1550,0.15607640147209167,-0.15607640147209167
10,9,1117,0.15579092502593994,0.15579092502593994
10,10,920,0.14734788239002228,0.14734788239002228
10,11,126,0.145192950963974,0.145192950963974
10,12,1048,0.14462819695472717,-0.14462819695472717
10,13,387,0.143609881401062,0.143609881401062
10,14,1245,0.14169660210609436,0.14169660210609436
10,15,1067,0.14062707126140594,0.14062707126140594
10,16,637,0.1394086629152298,0.1394086629152298
10,17,1613,0.13875333964824677,0.13875333964824677
10,18,1756,0.13704809546470642,-0.13704809546470642
10,19,1931,0.13672904670238495,0.13672904670238495
11,0,1023,0.20509612560272217,0.20509612560272217
11,1,1880,0.14359848201274872,-0.14359848201274872
11,2,1436,0.14107604324817657,0.14107604324817657
11,3,2018,0.1401669681072235,-0.1401669681072235
11,4,270,0.1399029791355133,-0.1399029791355133
11,5,1441,0.138020321726799,0.138020321726799
11,6,1471,0.13343439996242523,-0.13343439996242523
11,7,495,0.13277050852775574,-0.13277050852775574
11,8,1590,0.1319599449634552,0.1319599449634552
11,9,1952,0.13069456815719604,-0.13069456815719604
11,10,1479,0.12988786399364471,-0.12988786399364471
11,11,1368,0.12969493865966797,-0.12969493865966797
11,12,1016,0.1287955939769745,-0.1287955939769745
11,13,941,0.12726560235023499,0.12726560235023499
11,14,1355,0.12626726925373077,-0.12626726925373077
11,15,500,0.12588422000408173,0.12588422000408173
11,16,912,0.1258367896080017,-0.1258367896080017
11,17,1458,0.1242244616150856,0.1242244616150856
11,18,1426,0.12157230079174042,0.12157230079174042
11,19,1671,0.1211693286895752,-0.1211693286895752
12,0,1716,0.16081839799880981,-0.16081839799880981
12,1,1079,0.1596437245607376,0.1596437245607376
12,2,1473,0.14644663035869598,-0.14644663035869598
12,3,1812,0.14490683376789093,-0.14490683376789093
12,4,1873,0.1443539559841156,0.1443539559841156
12,5,184,0.14338818192481995,-0.14338818192481995
12,6,1417,0.14263476431369781,0.14263476431369781
12,7,1879,0.13262507319450378,-0.13262507319450378
12,8,1289,0.12924259901046753,-0.12924259901046753
12,9,1586,0.12805557250976562,0.12805557250976562
12,10,1595,0.12623442709445953,0.12623442709445953
12,11,627,0.12480632960796356,-0.12480632960796356
12,12,429,0.12408299744129181,-0.12408299744129181
12,13,78,0.12376794964075089,-0.12376794964075089
12,14,1791,0.1220034584403038,-0.1220034584403038
12,15,1797,0.12146774679422379,0.12146774679422379
12,16,1510,0.11931021511554718,0.11931021511554718
12,17,503,0.11874756962060928,-0.11874756962060928
12,18,581,0.11735179275274277,-0.11735179275274277
12,19,756,0.11632068455219269,-0.11632068455219269
13,0,373,0.17040401697158813,-0.17040401697158813
13,1,947,0.1578015387058258,0.1578015387058258
13,2,735,0.15466973185539246,0.15466973185539246
13,3,1966,0.14560627937316895,0.14560627937316895
13,4,1789,0.14043867588043213,0.14043867588043213
13,5,172,0.13955901563167572,-0.13955901563167572
13,6,1145,0.13227306306362152,0.13227306306362152
13,7,941,0.13077852129936218,0.13077852129936218
13,8,1801,0.13067878782749176,0.13067878782749176
13,9,555,0.12985031306743622,0.12985031306743622
13,10,964,0.12787863612174988,0.12787863612174988
13,11,1623,0.12625561654567719,-0.12625561654567719
13,12,1063,0.11838678270578384,0.11838678270578384
13,13,1032,0.11640490591526031,-0.11640490591526031
13,14,640,0.11637096107006073,-0.11637096107006073
13,15,1834,0.11487893760204315,0.11487893760204315
13,16,260,0.11213266849517822,0.11213266849517822
13,17,769,0.11208770424127579,-0.11208770424127579
13,18,371,0.11141923815011978,0.11141923815011978
13,19,1463,0.11114142090082169,-0.11114142090082169
14,0,422,0.2021934688091278,-0.2021934688091278
14,1,1336,0.16194364428520203,-0.16194364428520203
14,2,241,0.15544743835926056,-0.15544743835926056
14,3,1930,0.1531047523021698,-0.1531047523021698
14,4,255,0.14861208200454712,0.14861208200454712
14,5,994,0.14831361174583435,-0.14831361174583435
14,6,1474,0.14482128620147705,-0.14482128620147705
14,7,1629,0.14237986505031586,-0.14237986505031586
14,8,65,0.1319025307893753,0.1319025307893753
14,9,1329,0.12924446165561676,0.12924446165561676
14,10,1435,0.1270301192998886,-0.1270301192998886
14,11,1522,0.12671318650245667,0.12671318650245667
14,12,645,0.12634043395519257,0.12634043395519257
14,13,1298,0.12336869537830353,0.12336869537830353
14,14,1882,0.12077019363641739,0.12077019363641739
14,15,1074,0.12061545997858047,0.12061545997858047
14,16,833,0.1201535016298294,-0.1201535016298294
14,17,366,0.11904187500476837,0.11904187500476837
14,18,1862,0.11687225103378296,-0.11687225103378296
14,19,1450,0.11599984019994736,-0.11599984019994736
15,0,724,0.18680831789970398,-0.18680831789970398
15,1,1236,0.18563096225261688,0.18563096225261688
15,2,1263,0.1842990517616272,0.1842990517616272
15,3,242,0.17607839405536652,0.17607839405536652
15,4,1876,0.17546802759170532,-0.17546802759170532
15,5,335,0.17061255872249603,-0.17061255872249603
15,6,773,0.1702282875776291,0.1702282875776291
15,7,7,0.16729414463043213,0.16729414463043213
15,8,1540,0.16588395833969116,0.16588395833969116
15,9,1269,0.1652778536081314,0.1652778536081314
15,10,463,0.16300582885742188,-0.16300582885742188
15,11,583,0.15631987154483795,-0.15631987154483795
15,12,769,0.15440070629119873,-0.15440070629119873
15,13,1350,0.1506028175354004,0.1506028175354004
15,14,1057,0.15055349469184875,0.15055349469184875
15,15,560,0.1502993404865265,0.1502993404865265
15,16,586,0.14959748089313507,0.14959748089313507
15,17,523,0.14718052744865417,-0.14718052744865417
15,18,1992,0.14698214828968048,-0.14698214828968048
15,19,1275,0.14653639495372772,0.14653639495372772
